array_id	ecotype_id	latitude	longitude	nativename	stockparent	site	region	country
216	7000	50.9167	9.57073	Aa-0	CS6600	Aa	Western Europe	GER
54	6897	45.0	1.3	Ag-0	CS22630	Ag	Western Europe	FRA
239	6988	40.31	-3.22	Alc-0	CS1656	Alc	Southern Europe	ESP
493	8230	56.68	16.5	Algutsrum		Algutsrum	S Sweden	SWE
55	6898	51.2167	4.4	An-1	CS22626	An	Western Europe	BEL
184	8254	50.3	5.3	Ang-0	CS949	Ang	Western Europe	BEL
335	7014	56.5459	-4.79821	Ba-1	CS6607	Black Mount (Ba)	Northern Europe	UK
240	8256	56.4	12.9	Bå1-2		Bå	S Sweden	SWE
179	8258	56.4	12.9	Bå4-1		Bå	S Sweden	SWE
180	8259	56.4	12.9	Bå5-1		Bå	S Sweden	SWE
134	6899	49.0	11.0	Bay-0	CS22633	Bay	Western Europe	GER
214	6709	47.6479	-122.305	Bg-2	CS22342	BG	Pacific Northwest	USA
80	6900	63.324	18.484	Bil-5	CS22578	Bil	N Sweden	SWE
81	6901	63.324	18.484	Bil-7	CS22579	Bil	N Sweden	SWE
242	8264	41.6833	2.8	Bla-1	CS971	Bla	Southern Europe	ESP
243	8265	48.0	19.0	Blh-1	CS1031	Blh	Eastern Europe	CZE
53	8266	55.86	13.51	Boo2-1		Boo2	S Sweden	SWE
56	5837	49.4013	16.2326	Bor-1	CS22590	Bor	Moravia	CZE
135	6903	49.4013	16.2326	Bor-4	CS22591	Bor	Moravia	CZE
136	6904	49.2	16.6166	Br-0	CS22628	Br	Moravia	CZE
244	8231	56.3	16.0	Brö1-6		Brömsebro	S Sweden	SWE
185	8270	47.5	7.5	Bs-1	CS997	Bs	Western Europe	SUI
245	8271	50.5	9.5	Bu-0	CS1007	Bu	Western Europe	GER
346	7033	41.3599	-122.755	Buckhorn Pass	CS8067	Buckhorn Pass	Northern California	USA
137	6905	54.1	-6.2	Bur-0	CS22656	Bur	Northern Europe	IRL
42	6906	40.2077	-8.42639	C24	CS22620	Co	Southern Europe	POR
220	7062	50.2981	8.26607	Ca-0	CS6658	Ca	Western Europe	GER
246	8274	29.2144	-13.4811	Can-0	CS1065	Can	Southern Europe	ESP
247	8275	49.0	0.5	Cen-0	CS1067	Cen	Western Europe	FRA
60	6907	51.4083	-0.6383	CIBC-17	CS22603	CIBC	Northern Europe	UK
82	6908	51.4083	-0.6383	CIBC-5	CS22602	CIBC	Northern Europe	UK
398	7064	51.3	1.1	Cnt-1	CS6921	Canterbury (Sullivan garden)	England	UK
342	7081	40.2077	-8.42639	Co	CS3180	Co	Southern Europe	POR
1	6909	38.3	-92.3	Col-0	CS22625	Col	Midwest	USA
62	6910	37.3	15.0	Ct-1	CS22639	Ct	Southern Europe	ITA
144	6911	15.1111	-23.6167	Cvi-0	CS22614	Cvi	Macaronesia	CPV
221	7460			Da(1)-12	CS917	Unknown - Czech Republic	Eastern Europe	CZE
400	7094	49.8724	8.65081	Da-0	CS6676	Da	Western Europe	GER
186	8233	41.1876	-87.1923	Dem-4		Dem	Midwest	USA
250	8283	55.76	14.12	Dra3-1		Dra3	S Sweden	SWE
251	8284	49.4112	16.2815	DraII-1		DraII	Moravia	CZE
187	8285	49.4112	16.2815	DraIII-1		DraIII	Moravia	CZE
252	6008	49.1	16.2	Duk		Duk	Moravia	CZE
83	6009	62.877	18.177	Eden-1	CS22572	Eden	N Sweden	SWE
63	6913	62.877	18.177	Eden-2	CS22573	Eden	N Sweden	SWE
64	6914	55.949444	-3.160278	Edi-0	CS22657	Edi	Northern Europe	UK
188	6016	62.9	18.4	Eds-1		Eds	N Sweden	SWE
84	6915	50.3	6.3	Ei-2	CS22616	Ei	Western Europe	GER
181	8290	50.0	8.5	En-1	CS1137	En	Western Europe	GER
222	7123	50.1721	8.38912	Ep-0	CS6697	Ep	Taunus Mountains	GER
146	6916	58.3	25.3	Est-1	CS22629	Est		RUS
85	6917	63.0165	18.3174	Fäb-2	CS22576	Fäb	N Sweden	SWE
